Settings:,,,,,,,
Maximum frame gap,25,,,,,,
Maximum distance between frames (nm),200,,,,,,
Exclusion radius (nm),400,,,,,,
,,,,,,,
Parameters:,,,,,,,
Frames per second,24.9996,,,,,,
Exposure time (ms),40.0006,,,,,,
Pixel size (nm),117,,,,,,
,,,,,,,
Data filters active:,,,,,,,
Minimum steps,25,,,,,,
Minimum average donor photons,0,,,,,,
Minimum average acceptor photons,0,,,,,,
,,,,,,,
ID,Frame index,Groups,Donor Photons,Acceptor Photons,FRET efficiency,X (nm),Y (nm)
438,5,,118.489,209.621,0.638874,43453.3,49999
438,6,,0,0,0,0,0
438,7,,146.133,193.413,0.569623,43398.4,50011.6
438,8,,0,0,0,0,0
438,9,,0,0,0,0,0
438,10,,0,0,0,0,0
438,11,,0,0,0,0,0
438,12,,201.128,170.645,0.459002,43376.5,50025.9
438,13,,135.567,185.973,0.578381,43371.7,50028
438,14,,119.329,189.332,0.613398,43458.9,50033.2
438,15,,0,0,0,0,0
438,16,,0,0,0,0,0
438,17,,0,0,0,0,0
438,18,,194.371,177.516,0.477339,43349.1,49977.2
438,19,,245.694,97.0304,0.283115,43378,49990.5
438,20,,213.16,143.944,0.403087,43378.8,50014.6
438,21,,179.975,141.501,0.44016,43349.6,50000.3
438,22,,173.972,144.535,0.453789,43407.2,50005
438,23,,0,0,0,0,0
438,24,,206.402,168.394,0.449296,43364.5,50026.8
438,25,,197.824,167.276,0.458165,43377.3,49934.8
438,26,,191.35,185.077,0.491667,43369,49984.2
438,27,,0,0,0,0,0
438,28,,227.134,154.205,0.404378,43362.1,49948.6
438,29,,205.53,163.672,0.443313,43356.8,49938.8
438,30,,196.204,139.088,0.414827,43384.9,49992.7
438,31,,176.999,198.635,0.5288,43390.7,50010.8
438,32,,179.853,184.261,0.506053,43373.1,49962.7
438,33,,0,0,0,0,0
438,34,,0,0,0,0,0
438,35,,196.073,187.047,0.488221,43379.3,49994.1
438,36,,0,0,0,0,0
438,37,,0,0,0,0,0
438,38,,175.71,198.549,0.530513,43399.6,50007.4
438,39,,189.728,158.989,0.455925,43367.3,49970.8
438,40,,0,0,0,0,0
438,41,,186.108,165.434,0.470595,43390.1,49985.4
438,42,,208.083,198.991,0.488832,43386.6,50018
438,43,,174.997,182.689,0.510753,43393.7,50001.8
438,44,,240.246,195.453,0.448597,43409.6,49990.7
438,45,,0,0,0,0,0
438,46,,178.218,211.785,0.543034,43392.7,49992.4
438,47,,0,0,0,0,0
